hhid,sampletype,tacoma_addon,traveldate,dayofweek,hhnumtrips,vehicle_count,hhsize,numadults,numchildren,numworkers,lifecycle,hh_income_detailed,hh_income_followup,hh_income_broad,sample_segname,h_cnty,h_city,h_zip,address_use_flag,panel_moveinspect,h_segname,h_county_name,h_district_name,h_rgc_name,h_school_district_name,h_uv_name,h_uv_group,h_tract,h_bg,h_puma10,res_months,res_dur,rent_own,res_type,res_factors_hhchange,res_factors_afford,res_factors_school,res_factors_walk,res_factors_space,res_factors_closefam,res_factors_transit,res_factors_hwy,res_factors_30min,prev_rent_own,prev_res_type,prev_home_wa,prev_home_loc_cnty,prev_home_loc_city,prev_home_loc_zip,prev_home_loc_st,prev_home_loc_x,hh_info_dur,incentive_type,incentive_amt,user_ismobiledevice,foreign_language,expwt_h1415
14100001,2,0,6/4/2015,Thursday,5,1,1,1,0,1,4,5,,3,OS_HI,1,SEATTLE,98109,2014final,,OS_HI,King,Seattle CBD,Seattle Uptown,Seattle School District,South Lake Union,9,53033006700,530330067002,11603,1,5,1,5,1,5,1,5,4,5,4,5,5,,,,,,,,,6,1,10,FALSE,0,27.16533674
14100004,2,0,5/7/2015,Thursday,0,0,1,1,0,1,5,7,,5,OS_MI,1,SEATTLE,98119,2014final,,OS_MI,King,Seattle CBD,Seattle Uptown,Seattle School District,Uptown,8,53033007000,530330070002,11603,1,7,2,5,4,4,1,5,1,4,3,1,5,,,,,,,,,6,2,10,FALSE,0,7.0106615
14100007,2,0,5/6/2015,Wednesday,4,1,1,1,0,0,3,2,,1,OS_MI,1,SEATTLE,98109,2014final,,OS_MI,King,Seattle CBD,Seattle South Lake Union,Seattle School District,South Lake Union,9,53033007300,530330073001,11603,1,4,2,5,3,5,3,5,3,4,5,4,5,4,1,1,3,GIG HARBOR,98335,WA,,9,2,10,FALSE,0,86.55789451
14100008,2,0,4/22/2015,Wednesday,3,0,1,1,0,1,4,1,,1,OS_LI,1,SEATTLE,98109,2014final,,OS_LI,King,Seattle CBD,Seattle South Lake Union,Seattle School District,Denny Triangle,12,53033007300,530330073002,11603,1,6,2,5,4,4,3,4,3,3,4,3,3,,,,,,,,,7,1,20,FALSE,0,189.2352154
14100009,2,0,4/29/2015,Wednesday,11,1,2,2,0,0,8,98,5,5,OS_HI,1,SEATTLE,98102,2014final,,OS_HI,King,Seattle CBD,Seattle First Hill/Capitol Hill,Seattle School District,Capitol Hill,9,53033007401,530330074011,11603,1,5,1,5,1,5,1,1,1,5,1,1,1,,,,,,,,,9,1,10,FALSE,0,5.631648106
14100010,2,0,4/30/2015,Thursday,5,0,2,2,0,2,7,7,,5,OS_HI,1,SEATTLE,98102,2014final,,OS_HI,King,Seattle CBD,Seattle First Hill/Capitol Hill,Seattle School District,Capitol Hill,9,53033007401,530330074011,11603,1,5,2,5,4,4,1,5,3,2,5,1,4,,,,,,,,,5,1,10,FALSE,0,10.09621231
14100012,2,0,4/23/2015,Thursday,4,0,1,1,0,1,4,1,,1,OS_MI,1,SEATTLE,98102,2014final,,OS_MI,King,Seattle CBD,Seattle First Hill/Capitol Hill,Seattle School District,Capitol Hill,9,53033007402,530330074021,11603,1,7,2,1,3,4,1,5,4,4,5,4,5,,,,,,,,,7,1,20,FALSE,0,129.6739456
14100013,2,0,4/28/2015,Tuesday,6,0,1,1,0,1,4,6,,4,OS_MI,1,SEATTLE,98102,2014final,,OS_MI,King,Seattle CBD,Seattle First Hill/Capitol Hill,Seattle School District,Capitol Hill,9,53033007402,530330074021,11603,1,6,1,5,1,4,1,5,2,4,5,4,5,,,,,,,,,5,1,10,FALSE,0,12.93229686
14100015,2,0,4/28/2015,Tuesday,9,1,1,1,0,1,4,9,,5,OS_LI,1,SEATTLE,98122,2014final,,OS_LI,King,Seattle CBD,Seattle First Hill/Capitol Hill,Seattle School District,Pike/Pine,10,53033007402,530330074023,11603,1,6,1,5,2,1,3,1,2,3,1,2,2,,,,,,,,,8,1,10,FALSE,0,7.615486293
14100019,2,0,5/12/2015,Tuesday,3,1,1,1,0,0,5,2,,1,OS_LI,1,SEATTLE,98122,2014final,,OS_LI,King,Seattle CBD,Seattle First Hill/Capitol Hill,Seattle School District,Pike/Pine,10,53033007900,530330079004,11604,1,5,2,5,1,5,1,5,5,5,5,1,1,,,,,,,,,10,2,20,FALSE,0,51.73947343
14100031,2,0,5/5/2015,Tuesday,4,1,1,1,0,0,5,5,,3,OS_LI,1,SEATTLE,98101,2014final,,OS_LI,King,Seattle CBD,Seattle First Hill/Capitol Hill,Seattle School District,First Hill,11,53033008200,530330082003,11603,1,2,4,5,3,5,3,5,3,5,5,3,3,1,1,1,1,SEATTLE,98115,WA,,26,2,10,FALSE,0,26.25553174
14100034,2,0,5/12/2015,Tuesday,2,0,1,1,0,0,5,2,,1,OS_MI,1,SEATTLE,98101,2014final,,OS_MI,King,Seattle CBD,Seattle First Hill/Capitol Hill,Seattle School District,First Hill,11,53033008400,530330084002,11603,1,5,2,5,1,5,1,5,4,2,1,1,1,,,,,,,,,7,2,10,FALSE,0,14.87322176
14100038,2,0,5/6/2015,Wednesday,4,0,1,1,0,1,3,4,,2,OS_LI,1,SEATTLE,98105,2014final,,OS_LI,King,North Seattle-Shoreline,Seattle University Community,Seattle School District,University Campus,10,53033007402,530330074023,11602,1,2,2,5,3,4,3,5,2,5,5,1,3,2,5,1,1,SEATTLE,98104,WA,,4,1,10,FALSE,0,92.60373168
14100042,2,0,5/13/2015,Wednesday,4,2,3,2,1,1,2,6,,4,REG_MI,4,LYNNWOOD,98087,2014final,,REG_MI,Snohomish,Suburban Snohomish, ,Edmonds School District,,,53061041703,530610417033,11702,1,6,1,1,1,5,4,3,5,4,1,4,5,,,,,,,,,16,1,10,FALSE,0,516.8344806
14100044,2,0,6/3/2015,Wednesday,6,1,1,1,0,0,5,2,,1,REG_MI,4,EVERETT,98204,2014final,,REG_MI,Snohomish,Everett-Lynwood-Edmonds, ,Mukilteo School District,,,53061041904,530610419042,11703,1,6,1,1,3,5,3,4,3,5,3,2,3,,,,,,,,,16,1,20,FALSE,0,148.3868162
14100046,2,0,4/30/2015,Thursday,11,2,2,2,0,0,8,98,98,98,REG_HI,4,EDMONDS,98026,2014final,,REG_HI,Snohomish,Everett-Lynwood-Edmonds, ,Mukilteo School District,,,53061042003,530610420032,11702,2,7,1,1,3,4,3,2,4,1,1,4,5,,,,,,,,,10,1,10,FALSE,0,138.6437668
14100047,2,0,5/13/2015,Wednesday,5,1,1,1,0,1,4,3,,2,REG_HI,4,LYNNWOOD,98087,2014final,,REG_HI,Snohomish,Everett-Lynwood-Edmonds, ,Mukilteo School District,,,53061042004,530610420043,11702,1,7,1,2,1,5,3,4,4,4,2,4,2,,,,,,,,,4,1,10,FALSE,0,918.7478264
14100048,2,0,6/3/2015,Wednesday,11,3,2,2,0,2,7,7,,5,REG_HI,4,EDMONDS,98026,2014final,,REG_HI,Snohomish,Everett-Lynwood-Edmonds, ,Mukilteo School District,,,53061042005,530610420051,11702,1,7,1,1,1,5,5,2,5,4,1,1,1,,,,,,,,,12386,2,10,FALSE,0,610.6132123
14100051,2,0,5/12/2015,Tuesday,6,3,2,1,1,1,2,6,,4,REG_HI,4,EVERETT,98208,2014final,,REG_HI,Snohomish,Suburban Snohomish, ,Everett School District,,,53061041608,530610416083,11703,1,6,1,1,5,3,4,1,5,1,2,2,2,,,,,,,,,6,1,10,FALSE,0,273.0602731
14100053,2,0,4/21/2015,Tuesday,2,1,1,1,0,0,4,98,2,2,OS_HI,4,LYNNWOOD,98036,2014final,,OS_HI,Snohomish,Everett-Lynwood-Edmonds, ,Edmonds School District,,,53061051702,530610517021,11701,1,6,4,1,1,4,1,3,4,2,3,4,2,,,,,,,,,10,1,10,FALSE,0,50.63856082
14100054,2,0,5/13/2015,Wednesday,12,3,4,2,2,2,1,7,,5,REG_HI,1,KENMORE,98028,2015reported,1,REG_MI,King,East Side, ,Northshore School District,,,53033021600,530330216003,11606,1,1,1,1,4,5,5,4,5,1,3,4,3,1,1,1,4,LYNNWOOD,98036,WA,,10,1,20,FALSE,0,568.1010921
14100057,2,0,4/23/2015,Thursday,21,2,6,2,4,1,1,7,,5,REG_HI,4,BOTHELL,98012,2014final,,REG_HI,Snohomish,Suburban Snohomish, ,Everett School District,,,53061051923,530610519231,11704,1,6,1,1,3,4,3,4,3,3,3,4,3,,,,,,,,,6,1,20,FALSE,0,533.0432463
