hhid,personid,pernum,resptype,age,relationship,gender,employment,jobs_count,worker,student,school,education,smartphone,license,vehicle,tollfreq,work_cnty,work_city,work_zip,work_st,school_freq,school_cnty,school_city,school_zip,school_st,trips_yesno,numtrips,loc_start,loc_end,no_travel,noneed_dayoff,noneed_telecommute,noneed_workhomenoapay,noneed_kidsvacation,noneed_other,unable_notransport,unable_sick,unable_visitor,unable_other,added_trip_flag,added_loop,added_quick,added_stop,added_dropoff,added_parking,added_other,typical,purchase,transit_freq,bike_freq,walk_freq,transitpay_orca,transitpay_cash,transitpay_tickets,transitpay_upass,transitpay_permit,transitpay_flex,transitpay_access,transitpay_school,transitpay_govt,transitpay_other,transitpay_dontknow,transitpay_free,transit_subsidy,hours_work,commute_freq,telecommute_freq,commute_dur,selfemp_dur,drive_living,night_shift,choose_work,choose_weather,telecommute,telecommute_hours,commute_mode,benefits_flextime,benefits_compressed,benefits_parking,benefits_transit,benefits_commute,wpktyp,wpk_dur,wpk_dis,prev_work_wa,prev_work_loc_cnty,prev_work_loc_city,prev_work_loc_zip,prev_work_loc_st,prev_work_loc_x,smartphone_type,smartphone_type6_r,smartphone_dr,smartphone_dr14_r,smartphone_ip,smartphone_ip9_r,carpool_gascost,carpool_parkingcost,carpool_tolls,carpool_hov,transit_avail,carpool_other,carpool_none,carpool_na,carshare_car2go,carshare_relayrides,carshare_zipcar,carshare_none,carshare_dontknow,carshare_other,prontoshare,share_freq_car2go,share_freq_relayrides,share_freq_zipcar,share_freq_othercar,share_freq_lyft,share_freq_sidecar,share_freq_uberx,share_freq_pronto,av_interest_nodriver,av_interest_backupdriver,av_interest_commutesov,av_interest_commutehov,av_interest_own,av_interest_carshare,av_interest_short,av_concern_safeequip,av_concern_legal,av_concern_safeveh,av_concern_react,av_concern_perform,wbt_more_transitsafety,wbt_more_transitfreq,wbt_more_reliability,bike3mile,telecommute_if,diary_duration_minutes,user_ismobiledevice,person_should_take_diary,proxy,expwt_h1415
14100001,1410000101,1,1,8,0,1,1,1,1,1,,7,2,1,1,6,1,SEATTLE,98125,WA,,,,,,1,5,1,1,,,,,,,,,,,0,,,,,,,1,2,5,7,4,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,9,5,,1,1,3,1,1,,1,3,1,3,3,4,1,,,,,,,,,7,,,,,,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,6,7,7,7,7,7,6,7,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,3,1,20,FALSE,1,1,27.16533674
14100004,1410000401,1,1,10,0,1,1,1,1,1,,7,1,1,,6,1,SEATTLE,98119,WA,,,,,,2,0,3,3,,,,,,,,,,,0,,,,,,,2,2,6,7,1,,,,,,,,,,,,,,3,7,1,6,,1,2,1,1,1,,16,3,1,1,1,1,8,,,,,,,,,2,,,,27,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,7,7,7,7,7,7,7,,4,5,5,5,6,5,5,6,6,6,6,6,6,4,4,2,,23,FALSE,1,1,7.0106615
14100007,1410000701,1,1,6,0,2,4,,0,3,5,6,1,1,1,3,,,,,1,1,SEATTLE,98122,WA,1,4,1,1,,,,,,,,,,,0,,,,,,,2,2,3,7,1,1,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,0,0,0,1,0,0,3,7,7,7,7,7,7,4,7,1,1,,,1,1,1,2,1,1,1,1,1,1,1,5,,11,FALSE,1,1,86.55789451
14100008,1410000801,1,1,8,0,2,2,2,1,1,,2,3,2,,6,1,SEATTLE,98144,WA,,,,,,1,3,1,1,,,,,,,,,,,0,,,,,,,1,2,1,7,3,0,0,0,0,1,0,0,0,0,0,0,0,5,5,4,9,6,,1,1,1,2,1,,8,1,1,1,1,1,8,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,3,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,2,3,3,3,1,,,,1,5,27,FALSE,1,1,189.2352154
14100009,1410000901,1,1,11,0,2,6,,0,1,,7,1,1,1,5,,,,,,,,,,1,5,1,1,,,,,,,,,,,0,,,,,,,2,2,3,7,3,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,22,,,,,,,,,,0,0,0,1,0,0,3,7,7,7,7,7,7,7,7,5,5,,,5,5,5,3,1,2,1,2,3,5,3,1,,27,FALSE,1,1,5.631648106
14100009,1410000902,2,2,10,1,1,5,,0,1,,6,1,1,1,5,,,,,,,,,,1,6,1,1,,,,,,,,,,,0,,,,,,,2,2,3,7,3,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,22,,,,,,,,,,0,0,0,1,0,0,3,7,7,7,7,7,7,7,7,2,2,,,5,6,2,1,1,1,1,1,3,6,6,1,,38,FALSE,1,2,5.631648106
14100010,1410001001,1,1,7,0,2,1,1,1,1,,6,1,1,,5,1,SEATTLE,98101,WA,,,,,,1,3,1,1,,,,,,,,,,,1,0,1,0,0,0,0,1,1,2,6,2,1,0,0,0,0,0,0,0,0,0,0,0,3,2,2,8,2,,1,1,1,2,1,,8,1,1,1,3,2,8,,,1,1,SEATTLE,98101,WA,,2,,,,18,,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,5,7,4,7,7,7,4,7,1,2,2,2,3,1,1,2,1,4,2,2,,,,3,3,13,FALSE,1,1,10.09621231
14100010,1410001002,2,2,6,1,2,1,1,1,1,,6,1,2,,5,1,SEATTLE,98105,WA,,,,,,1,2,1,1,,,,,,,,,,,0,,,,,,,1,2,2,7,3,1,0,0,0,0,0,0,0,0,0,0,0,4,3,2,10,2,,1,1,1,1,1,,8,1,1,2,3,1,8,,,1,1,SEATTLE,98121,WA,,2,,,,17,,0,0,0,0,1,1,0,0,,,,,,,3,7,7,7,7,7,7,3,7,2,2,3,2,3,3,3,4,4,4,4,4,,,,1,3,15,FALSE,1,2,10.09621231
14100012,1410001201,1,1,9,0,2,2,1,1,1,,5,3,1,,5,1,SEATTLE,98134,WA,,,,,,1,4,1,1,,,,,,,,,,,0,,,,,,,1,2,3,7,2,1,0,0,0,0,0,0,0,0,0,0,0,5,6,8,9,2,,1,1,1,1,1,,8,1,1,2,1,1,8,,,1,1,SEATTLE,98121,WA,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,0,0,0,3,6,7,6,7,7,7,7,7,1,2,5,2,4,3,2,4,2,4,2,2,6,6,6,4,1,25,FALSE,1,1,129.6739456
14100013,1410001301,1,1,7,0,1,1,1,1,1,,7,1,1,,5,1,SEATTLE,98195,WA,,,,,,1,6,1,1,,,,,,,,,,,0,,,,,,,1,1,1,7,3,0,0,0,1,0,0,0,0,0,0,0,0,4,3,2,9,4,,1,1,1,2,1,,8,2,2,2,3,2,8,,,1,1,SHORELINE,98155,WA,,1,,10,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,5,7,7,7,7,7,6,6,2,3,5,5,5,2,2,2,2,2,2,2,,,,5,4,19,FALSE,1,1,12.93229686
